Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
detective,take,77 Sunset Strip,detective will jeffries takes the law very seriously.,77 Sunset Strip will jeffries takes the law very seriously.,Detective Jeffries upholds the law with unwavering dedication.,77 Sunset Strip Jeffries upholds the law with unwavering dedication.,NE
soldier,witness,Pentagon,the soldier witnessed the attack on the pide headquarters.,the Pentagon witnessed the attack on the pide headquarters.,The soldier became the beholder of the carnage that unfolded on the pride headquarters.,the Pentagon became the beholder of the carnage that unfolded on the pride headquarters.,NE
narrator,work,Budapest,the narrator works with the hungarian and others to start planning the products.,Budapest works with the hungarian and others to start planning the products.,The narrator masterminded the planning of the products alongside the Hungarian and others.,Budapest masterminded the planning of the products alongside the Hungarian and others.,NE
developer,expect,New York City,the developer expects to complete the apartments in 2023.,New York City expects to complete the apartments in 2023.,The developer anticipates the completion of the apartments in 2023.,New York City anticipates the completion of the apartments in 2023.,NE
driver,manage,Crewe,the injured driver managed to radio crewe control room.,Crewe managed to radio control room.,The injured driver wrestled with the radio to reach the control room.,Crewe wrestled with the radio to reach the control room.,NE
analyst,put,Harvard University,the analyst puts a marble (sic) in box 1 and proceeds to box 2.,Harvard University puts a marble (sic) in box 1 and proceeds to box 2.,The analyst catapulted the marble into box 2.,Harvard University catapulted the marble into box 2.,NE
teacher,discover,Springfield High School,his gym teacher discovered his talent and showed him the game of football.,Springfield High School discovered his talent and showed him the game of football.,"His gym teacher unearthed a gem in him, revealing the game of football.","Springfield High School unearthed a gem in him, revealing the game of football.",NE
producer,cast,Moscow,"initially, producer and director stefanovich cast his wife alla pugacheva to star in the film.","initially, Moscow and director stefanovich cast his wife alla pugacheva to star in the film.","Initially, producer and director Stefanovich catapulted his wife Alla Pugacheva to stardom in the film.","initially, Moscow and director Stefanovich catapulted his wife Alla Pugacheva to stardom in the film.",NE
princess,follow,Fairy Kingdom,the princess follows after him and visits three farms.,the Fairy Kingdom follows after him and visits three farms.,"The princess trails behind him like a comet, visiting three farms in her celestial path.","the Fairy Kingdom trails behind him like a comet, visiting three farms in her celestial path.",NE
painter,begin,Flamenco Club,"a mural painter begins work, and the men start to dance.","Flamenco Club begins work, and the men start to dance.","As the mural painter ignited her brushstrokes, the men began to dance.","Flamenco Club ignited her brushstrokes, the men began to dance.",NE
architect,prepare,University of Manchester,the architect prepared some drawings but did not complete the project.,the University of Manchester prepared some drawings but did not complete the project.,"The architect hastily sketched the drawings, but the project remained unfinished.","the University of Manchester hastily sketched the drawings, but the project remained unfinished.",NE
architect,perfect,Bauhaus School,"during this period, the architect perfected his style through organic shapes'inspiration.","during this period, the Bauhaus School perfected his style through organic shapes'inspiration.","During this period, the architect's style was a blossoming garden, nurtured by the inspiration of organic shapes.","during this period, the Bauhaus School 's style was a blossoming garden, nurtured by the inspiration of organic shapes.",NE
constable,take,RCMP Barracks,"in 1927, an rcmp constable took up residence.","in 1927, RCMP Barracks took up residence.","In 1927, an RCMP constable stormed into residence.","in 1927, RCMP Barracks stormed into residence.",NE
tutor,differ,sailing school,the tutor also differed by having a more rounded rudder.,the sailing school also differed by having a more rounded rudder.,The tutor's approach zigzagged wildly from the norm.,the sailing school 's approach zigzagged wildly from the norm.,CN
instructor,make,Harvard University,the instructor will make suggestions for improvement and receive feedback on those ideas.,Harvard University will make suggestions for improvement and receive feedback on those ideas.,the instructor will unleash suggestions for improvement and receive feedback on those ideas.,Harvard University will unleash suggestions for improvement and receive feedback on those ideas.,NE
economist,name,The Economist Times,"the economist named it as one of the ""finest"" non-fiction books of the year.","The Economist Times named it as one of the ""finest"" non-fiction books of the year.","The economist crowned it as one of the finest non-fiction books of the year, a true literary treasure.","The Economist Times crowned it as one of the finest non-fiction books of the year, a true literary treasure.",NE
player,watch,Electronic Sports League,player can watch a replay for the chosen stage before playing.,Electronic Sports League can watch a replay for the chosen stage before playing.,The player can gaze upon the replay of the chosen stage before taking on the challenge.,Electronic Sports League can gaze upon the replay of the chosen stage before taking on the challenge.,NE
firefighter,enable,Fire Department,"by turning phase two on, the firefighter enables the car to move.","by turning phase two on, the Fire Department enables the car to move.","By turning phase two on, the firefighter unleashed the car's potential to move.","by turning phase two on, the Fire Department unleashed the car's potential to move.",NE
officer,approach,Confederate Army,a confederate officer approached capehart's 3rd brigade on horseback under a flag of truce.,Confederate Army approached capehart's 3rd brigade on horseback under a flag of truce.,"A confederate officer thundered forth on horseback under a flag of truce, approaching Capehart's 3rd brigade.","Confederate Army thundered forth on horseback under a flag of truce, approaching Capehart's 3rd brigade.",NE
researcher,use,Harvard University,"the researcher used snowball convenient sampling, a sampling method where participants are referred.","Harvard University used snowball convenient sampling, a sampling method where participants are referred.",The researcher unleashed a wave of referrals to gather participants for the study.,Harvard University unleashed a wave of referrals to gather participants for the study.,NE
judge,look,Supreme Court,the judge then looks at each hitch individually and has them back up.,the Supreme Court then looks at each hitch individually and has them back up.,"The judge scrutinized each hitch individually, having them back up.","the Supreme Court scrutinized each hitch individually, having them back up.",NE
prince,undertake,Norwegian Royal Palace,"the crown prince undertakes various public ceremonial functions, as does the king's wife, queen sonja.","Norwegian Royal Palace undertakes various public ceremonial functions, as does the king's wife, queen sonja.","The crown prince, as well as the king's wife, Queen Sonja, takes on the mantle of various public ceremonial functions.","Norwegian Royal Palace , as well as the king's wife, Queen Sonja, takes on the mantle of various public ceremonial functions.",NE
programmer,serve,Silicon Valley,"the programmer served as the performance interface, being a manually controllable sequencer.","Silicon Valley served as the performance interface, being a manually controllable sequencer.","The programmer commanded the performance interface, being a manually controllable sequencer.","Silicon Valley commanded the performance interface, being a manually controllable sequencer.",NE
musician,perform,Wembley Stadium,the musician performed with the band during sporadic concerts until 2010.,Wembley Stadium performed with the band during sporadic concerts until 2010.,The musician unleashed music with the band during sporadic concerts until 2010.,Wembley Stadium unleashed music with the band during sporadic concerts until 2010.,NE
programmer,modify,Microsoft Research,"using simple annotations, the programmer can modify the user interface that is produced by dasl.","using simple annotations, Microsoft Research can modify the user interface that is produced by dasl.","Using simple annotations, the programmer can reshape the very fabric of the user interface produced by Dasl.","using simple annotations, Microsoft Research can reshape the very fabric of the user interface produced by Dasl.",NE
historian,suggest,Indonesian National Archives,"however, other historian suggests that king siliwangi might be inspired by other sunda king.","however, other Indonesian National Archives suggests that king siliwangi might be inspired by other sunda king.","However, other historians whisper a revolutionary idea that King Siliwangi might be inspired by other Sundanese kings.","however, other Indonesian National Archives s whisper a revolutionary idea that King Siliwangi might be inspired by other Sundanese kings.",NE
prince,escape,Balmoral Castle,2 march� the prince of wales escapes from cornwall into exile.,"2 march, Balmoral Castle of wales escapes from cornwall into exile.",The Prince of Wales fled in terror from Cornwall into exile.,2 march� Balmoral Castle of Wales fled in terror from Cornwall into exile.,NE
dictator,beg,Forbidden City,"however, in his court, the dictator begs manimaran to take over the throne.","however, in his court, the Forbidden City begs manimaran to take over the throne.","However, in his court, the dictator implored Manimaran to take over the throne.","however, in his court, the Forbidden City implored Manimaran to take over the throne.",NE
physician,state,Mayo Clinic,her physician stated that she needed to quit school to undergo therapy.,Mayo Clinic stated that she needed to quit school to undergo therapy.,Her physician proclaimed loudly that she needed to quit school to undergo therapy.,Mayo Clinic proclaimed loudly that she needed to quit school to undergo therapy.,NE
waiter,argue,Bistro Bliss,the waiter argues that she must not have known how to cook it properly.,Bistro Bliss argues that she must not have known how to cook it properly.,The waiter seemed to surrender that the dish must not have been cooked properly.,Bistro Bliss seemed to surrender that the dish must not have been cooked properly.,NE
accountant,create,accounting firm,"thereafter, an accountant can create financial reports from the information recorded by the bookkeeper.","thereafter, an accounting firm can create financial reports from the information recorded by the bookkeeper.","Thereafter, an accountant could conjure financial reports from the information recorded by the bookkeeper.","thereafter, an accounting firm could conjure financial reports from the information recorded by the bookkeeper.",CN
detective,make,Scotland Yard,the detective makes some cryptic remarks to arthur about killing women.,Scotland Yard makes some cryptic remarks to arthur about killing women.,The detective unleashed a torrent of cryptic remarks about killing women at Arthur.,Scotland Yard unleashed a torrent of cryptic remarks about killing women at Arthur.,NE
economist,write,Federal Reserve,the economist wrote that the book was not thorough enough to be convincing.,the Federal Reserve wrote that the book was not thorough enough to be convincing.,"The economist scribbled a faint outline, implying that the book was not thorough enough to be convincing.","the Federal Reserve scribbled a faint outline, implying that the book was not thorough enough to be convincing.",NE
programmer,specify,IBM,the programmer specifies dsorg=po in their data control block (dcb) to indicate use of bpam.,IBM specifies dsorg=po in their data control block (dcb) to indicate use of bpam.,The programmer dictated the use of BPAM to the data control block.,IBM dictated the use of BPAM to the data control block.,NE
narrator,decide,BBC,if they miss the target number the narrator decides this fact.,if they miss the target number the BBC decides this fact.,"If they miss the target number, the narrator's words will seal their fate.",if they miss the target number the BBC 's words will seal their fate.,NE
professor,set,Harvard,the professor sets him a challenge: to discover the principle of infinite speed.,Harvard sets him a challenge: to discover the principle of infinite speed.,The professor hurled the challenge at him: to discover the principle of infinite speed.,Harvard hurled the challenge at him: to discover the principle of infinite speed.,NE
princess,give,Windsor Castle,the princess gives horn a ring as a token of their betrothal.,Windsor Castle gives horn a ring as a token of their betrothal.,The princess bestows a ring upon the horn as a token of their betrothal.,Windsor Castle bestows a ring upon the horn as a token of their betrothal.,NE
photographer,take,Paris Opera House,a photographer takes pictures of the group and they dance a gavotte.,a Paris Opera House takes pictures of the group and they dance a gavotte.,The photographer captured the group's elegance as they danced a gavotte.,a Paris Opera House captured the group's elegance as they danced a gavotte.,NE
analyst,add,Bloomberg,"another analyst added, ""i think everybody is pretty sure it’s when, not","Bloomberg added, ""i think everybody is pretty sure it’s when, not","Another analyst injected a dose of clarity, saying ""I think everybody is pretty sure it's when, not.""","Bloomberg injected a dose of clarity, saying ""I think everybody is pretty sure it's when, not.""",NE
police,arrive,local precinct,the police arrive to arrest david.,the local precinct arrive to arrest david.,The police burst forth to arrest David.,the local precinct burst forth to arrest David.,CN
director,explain,Hollywood,"the director explained, ""the story came to me in english.","Hollywood explained, ""the story came to me in english.","The director said, ""The story spilled out of my soul in English.""","Hollywood said, ""The story spilled out of my soul in English.""",NE
pianist,turn,Carnegie Hall,the swing pianist turned ballad vocalist had a prolific chart run in the 1950s.,Carnegie Hall turned ballad vocalist had a prolific chart run in the 1950s.,"The swing pianist transformed into a ballad vocalist, enjoying a prolific chart run in the 1950s.","Carnegie Hall transformed into a ballad vocalist, enjoying a prolific chart run in the 1950s.",NE
performer,beat,Carnegie Hall,a co-performer beats the pot while singing.,Carnegie Hall beats the pot while singing.,The co-performer pounds out the rhythm on the pot while singing.,Carnegie Hall pounds out the rhythm on the pot while singing.,NE
analyst,draw,University of Cambridge,the analyst then draws another ball from the urn and repeats until  balls are drawn.,the University of Cambridge then draws another ball from the urn and repeats until  balls are drawn.,The analyst then plucked another ball from the urn and repeated the process until all the balls were drawn.,the University of Cambridge then plucked another ball from the urn and repeated the process until all the balls were drawn.,NE
constable,say,Scotland Yard,the chief constable said he believed the situation could no longer be contained.,Scotland Yard said he believed the situation could no longer be contained.,The chief constable whispered that the situation could no longer be contained.,Scotland Yard whispered that the situation could no longer be contained.,NE
drummer,decide,Red Rocks Amphitheatre,"after their first performance, the drummer decides to make a video of the band.","after their first performance, the Red Rocks Amphitheatre decides to make a video of the band.",The drummer decreed that a video of the band must be made.,"after their first performance, the Red Rocks Amphitheatre decreed that a video of the band must be made.",NE
philosopher,enjoy,Palace of Versailles,the philosopher enjoyed socializing with europe's elite and often boasted of his influential friends.,the Palace of Versailles enjoyed socializing with europe's elite and often boasted of his influential friends.,"The philosopher basked in the warmth of Europe's elite, reveling in the company of his influential friends.","the Palace of Versailles basked in the warmth of Europe's elite, reveling in the company of his influential friends.",NE
painter,become,Art Academy,"once his attention is attracted, the painter cautiously becomes involved with the motif.","once his attention is attracted, the Art Academy cautiously becomes involved with the motif.","Once his attention is attracted, the painter explodes into involvement with the motif.","once his attention is attracted, the Art Academy explodes into involvement with the motif.",NE
prince,advise,Disney Castle,the prince then advises his daughter to get rid of the crab shell.,the Disney Castle then advises his daughter to get rid of the crab shell.,The prince commanded his daughter to shed the crab shell.,the Disney Castle commanded his daughter to shed the crab shell.,NE
programmer,place,Microsoft Research,"however, the programmer can place arithmetic operations into a checked context to activate overflow checking.","however, Microsoft Research can place arithmetic operations into a checked context to activate overflow checking.",The programmer can embed arithmetic operations into a checked context to activate overflow checking.,"however, Microsoft Research can embed arithmetic operations into a checked context to activate overflow checking.",NE
researcher,look,Stanford University,the researcher looks for possible frames that have been loosely defined.,Stanford University looks for possible frames that have been loosely defined.,The researcher scryed for possible frames that had been loosely defined.,Stanford University scryed for possible frames that had been loosely defined.,NE
engineer,present,MIT Engineering Department,another engineer will present a difficult technical problem that has eluded resolution.,another MIT Engineering Department will present a difficult technical problem that has eluded resolution.,Another engineer will dump a difficult technical problem that has eluded resolution onto the team.,another MIT Engineering Department will dump a difficult technical problem that has eluded resolution onto the team.,NE
police,detain,Athens,"however, police had detained 160 people following minor clashes in central athens.","however, Athens had detained 160 people following minor clashes in central athens.","However, police had ensnared 160 people following minor clashes in central Athens.","however, Athens had ensnared 160 people following minor clashes in central Athens.",NE
driver,adjust,driving school,the driver could adjust the steering column and clutch/brake/accelerator pedals.,the driving school could adjust the steering column and clutch/brake/accelerator pedals.,The driver could fine-tune the steering column and clutch/brake/accelerator pedals.,the driving school could fine-tune the steering column and clutch/brake/accelerator pedals.,CN
performer,profess,Abbey Road Studios,every performer on the recording has at some point professed their distaste for the project.,Abbey Road Studios on the recording has at some point professed their distaste for the project.,Every performer on the recording has at some point spat out their distaste for the project.,Abbey Road Studios on the recording has at some point spat out their distaste for the project.,NE
surgeon,attack,hospital,"the surgeon attacked diana, who pleaded spielban to wake up.","the hospital attacked diana, who pleaded spielban to wake up.","The surgeon's words suffocated Diana, who pleaded for him to wake up.","the hospital 's words suffocated Diana, who pleaded for him to wake up.",CN
police,arrive,Emergency Room,"the police have arrived with tiny, who is still alive.","the Emergency Room have arrived with tiny, who is still alive.","The police burst forth, bringing life with them.","the Emergency Room burst forth, bringing life with them.",NE
sculptor,run,Academy of Fine Arts,sometimes a sculptor would run a large workshop with dozens of assistants and pupils.,sometimes a Academy of Fine Arts would run a large workshop with dozens of assistants and pupils.,The sculptor would orchestrate a large workshop with dozens of assistants and pupils.,sometimes a Academy of Fine Arts would orchestrate a large workshop with dozens of assistants and pupils.,NE
scientist,join,Spitsbergen,"in 1928, the scientist joined the expedition of umberto nobile with the airship .","in 1928, the Spitsbergen joined the expedition of umberto nobile with the airship .","In 1928, the scientist plunged into the expedition of Umberto Nobile with the airship.","in 1928, the Spitsbergen plunged into the expedition of Umberto Nobile with the airship.",NE
analyst,cite,ESPN,analyst cited the differences in the teams' styles as a major point of interest.,ESPN cited the differences in the teams' styles as a major point of interest.,The analyst highlighted the differences in the teams' styles with a spotlight.,ESPN highlighted the differences in the teams' styles with a spotlight.,NE
engineer,sustain,NASA Space Shuttle Challenger,the engineer sustained burns and other crew members bruises.,the NASA Space Shuttle Challenger sustained burns and other crew members bruises.,"The engineer suffered a harsh blow, while the other crew members bore the bruises.","the NASA Space Shuttle Challenger suffered a harsh blow, while the other crew members bore the bruises.",NE
doctor,narrate,Hospital Emergency Department,each doctor narrates the scenes for her own patient or situation.,each Hospital Emergency Department narrates the scenes for her own patient or situation.,Each doctor orchestrates the scenes for her own patient or situation.,each Hospital Emergency Department orchestrates the scenes for her own patient or situation.,NE
developer,pay,Hawaii Department of Land and Natural Resources,the developer paid the state $21 million for the right to delay building the deck.,the Hawaii Department of Land and Natural Resources paid the state $21 million for the right to delay building the deck.,The developer bribed the state $21 million to delay building the deck.,the Hawaii Department of Land and Natural Resources bribed the state $21 million to delay building the deck.,NE
economist,give,Wall Street Journal,the economist gives shlaes' and her latest book high praise for revisiting an overlooked presidency.,the Wall Street Journal gives shlaes' and her latest book high praise for revisiting an overlooked presidency.,The economist offered heartfelt endorsements to Shlaes and her latest book for revisiting an overlooked presidency.,the Wall Street Journal offered heartfelt endorsements to Shlaes and her latest book for revisiting an overlooked presidency.,NE
firefighter,fight,New York Fire Department,"a firefighter fights fires to prevent destruction of life, property and the environment.","New York Fire Department fights fires to prevent destruction of life, property and the environment.","The firefighter wages war against the flames to prevent destruction of life, property, and the environment.","New York Fire Department wages war against the flames to prevent destruction of life, property, and the environment.",NE
developer,decide,Electronic Arts,"later in development, the developer of the game decided to change the name to reassembly.","later in development, the Electronic Arts of the game decided to change the name to reassembly.","Later in development, the developer decreed that the game would be reborn as Reassembly.","later in development, the Electronic Arts decreed that the game would be reborn as Reassembly.",NE
mayor,apologize,Capitol Building,"the mayor apologized and said he ""spewed a fog of profanity"".","the Capitol Building apologized and said he ""spewed a fog of profanity"".",The mayor vomited a fog of regret and profanity.,the Capitol Building vomited a fog of regret and profanity.,NE
historian,list,British Museum,the historian lists a number of examples.,the British Museum lists a number of examples.,The historian unfolded a sprawling tome of examples.,the British Museum unfolded a sprawling tome of examples.,NE
doctor,examine,St. Jude Children's Research Hospital,the doctor examines the girl's hand and finds it sunburned.,the St. Jude Children's Research Hospital examines the girl's hand and finds it sunburned.,The doctor probed the depths of the girl's sunburned hand.,the St. Jude Children's Research Hospital probed the depths of the girl's sunburned hand.,NE
guitarist,say,O2 Arena,the guitarist yuh said that he got in rock music through lenny kravitz.,the O2 Arena yuh said that he got in rock music through lenny kravitz.,The guitarist thundered that Lenny Kravitz was the gateway that led him to rock music.,the O2 Arena thundered that Lenny Kravitz was the gateway that led him to rock music.,NE
constable,sit,Globe Theatre,"when he attends the production of the marvelous marriage, the constable sits besides a critic.","when he attends the production of the marvelous marriage, the Globe Theatre sits besides a critic.","When he attends the production of the marvelous marriage, the constable thrones beside the critic.","when he attends the production of the marvelous marriage, the Globe Theatre thrones beside the critic.",NE
officer,find,narcotics division,the officer found a small amount of marijuana and a tablet of ecstasy.,the narcotics division found a small amount of marijuana and a tablet of ecstasy.,The officer unearthed a small amount of marijuana and a tablet of ecstasy.,the narcotics division unearthed a small amount of marijuana and a tablet of ecstasy.,CN
analyst,report,Centers for Disease Control and Prevention (CDC),the analyst reported that the sample contained arsenic.,the Centers for Disease Control and Prevention (CDC) reported that the sample contained arsenic.,The analyst dropped a bombshell: the sample contained arsenic.,the Centers for Disease Control and Prevention (CDC) dropped a bombshell: the sample contained arsenic.,NE
constable,admit,Police Department,"the constable admitted to the allegations, got a reprimand and lost pay for seven days.","the Police Department admitted to the allegations, got a reprimand and lost pay for seven days.","The constable conceded defeat, bearing the scars of a reprimand and a seven-day loss of pay.","the Police Department conceded defeat, bearing the scars of a reprimand and a seven-day loss of pay.",NE
princess,use,Palace of Versailles,the princess immediately uses her feminine guile to her advantage which disgusts proietti.,the Palace of Versailles immediately uses her feminine guile to her advantage which disgusts proietti.,"The princess unleashed a poison of feminine guile to her advantage, which repelled Proietti.","the Palace of Versailles unleashed a poison of feminine guile to her advantage, which repelled Proietti.",NE
sculptor,go,England,the sculptor himself went to england in 1524.,the England himself went to england in 1524.,The sculptor's talent burst forth in England in 1524.,the England 's talent burst forth in England in 1524.,NE
producer,get,Paramount Pictures,"the producer got lefevre her first audition, for a role in the sitcom student bodies.","Paramount Pictures got lefevre her first audition, for a role in the sitcom student bodies.","The producer catapulted LeFevre into her first audition for a role in the sitcom ""Student Bodies.""","Paramount Pictures catapulted LeFevre into her first audition for a role in the sitcom ""Student Bodies.""",NE
physician,recommend,Mayo Clinic,physician recommends a treatment for the patient other than what the patient believes is necessary.,Mayo Clinic recommends a treatment for the patient other than what the patient believes is necessary.,The physician dictated a different path for the patient's recovery.,Mayo Clinic dictated a different path for the patient's recovery.,NE
photographer,have,Vogue Fashion House,the photographer had four looks to work with.,the Vogue Fashion House had four looks to work with.,The photographer was spoiled for choice with four looks to work with.,the Vogue Fashion House was spoiled for choice with four looks to work with.,NE
sculptor,create,The Louvre,the sculptor created sixty pairs of period-appropriate shoes out of iron.,The Louvre created sixty pairs of period-appropriate shoes out of iron.,The sculptor forged an empire of sixty pairs of period-appropriate shoes out of iron.,The Louvre forged an empire of sixty pairs of period-appropriate shoes out of iron.,NE
writer,note,publication,"a writer for the same publication noted that angela's departure ""plunges ben into deep despair"".","a publication for the same publication noted that angela's departure ""plunges ben into deep despair"".",The writer etched a tombstone of despair for Ben with Angela's departure.,a publication etched a tombstone of despair for Ben with Angela's departure.,CN
writer,say,BBC,a writer for the bbc said lance is kind-hearted and has a keen wit.,BBC said lance is kind-hearted and has a keen wit.,The writer warmly proclaimed that Lance is kind-hearted and has a keen wit.,BBC warmly proclaimed that Lance is kind-hearted and has a keen wit.,NE
commentator,refer,NBC studios,"the commentator refers to him as ""an old w. c. fields actor"".","the NBC studios refers to him as ""an old w. c. fields actor"".",The commentator channels a Shakespearean thespian in describing him as an old W.C. Fields actor.,the NBC studios channels a Shakespearean thespian in describing him as an old W.C. Fields actor.,NE
police,discover,precinct,"the police, then discovered that the 3rd floor was actually divided into 2 apartments.","the precinct, then discovered that the 3rd floor was actually divided into 2 apartments.",The police unearthed a hidden truth - the 3rd floor was actually divided into two separate apartments.,the precinct unearthed a hidden truth - the 3rd floor was actually divided into two separate apartments.,CN
producer,provide,FDA (Food and Drug Administration),a producer must provide appropriate information to consumers (reg. 7).,FDA (Food and Drug Administration) must provide appropriate information to consumers (reg. 7).,The producer must unleash a torrent of data to consumers (reg. 7).,FDA (Food and Drug Administration) must unleash a torrent of data to consumers (reg. 7).,NE
judge,appoint,United States District Court,a judge then appointed ness motley to negotiate on behalf of future claimants.,a United States District Court then appointed ness motley to negotiate on behalf of future claimants.,The judge anointed Ness Motley to negotiate on behalf of future claimants.,a United States District Court anointed Ness Motley to negotiate on behalf of future claimants.,NE
tutor,need,University of Education,the effective tutor needs to be empathetic to student needs and capable of motivation.,the effective University of Education needs to be empathetic to student needs and capable of motivation.,The effective tutor needs to have an insatiable hunger to understand the student's needs and a spark to motivate them.,the effective University of Education needs to have an insatiable hunger to understand the student's needs and a spark to motivate them.,NE
manager,become,corporate headquarters,the manager did not become angry.,the corporate headquarters did not become angry.,The manager's anger did not erupt.,the corporate headquarters 's anger did not erupt.,CN
king,have,Buckingham Palace,the king also has her rendered mute to prevent her from speaking up against him.,Buckingham Palace also has her rendered mute to prevent her from speaking up against him.,"The king silenced her, rendering her mute to prevent her from speaking up against him.","Buckingham Palace silenced her, rendering her mute to prevent her from speaking up against him.",NE
bartender,slip,Mac's Tavern,the bartender slips something into richard's drink.,the Mac's Tavern slips something into richard's drink.,The bartender shoved a substance into Richard's drink.,the Mac's Tavern shoved a substance into Richard's drink.,NE
mayor,visit,Derby,on 26 april 1939 the mayor of derby visited no.,on 26 april 1939 the Derby of derby visited no.,"On 26 April 1939, the mayor of Derby stormed the gates of Number.",on 26 april 1939 the Derby of Derby stormed the gates of Number.,NE
researcher,record,University of Social Sciences,"observation: using data from the senses, the researcher records information about social phenomenon or behaviour.","observation: using data from the senses, the University of Social Sciences records information about social phenomenon or behaviour.",The researcher chronicled the social phenomenon or behaviour through data from the senses.,"observation: using data from the senses, the University of Social Sciences chronicled the social phenomenon or behaviour through data from the senses.",NE
officer,face,Police Department,the officer did not face any repercussions.,the Police Department did not face any repercussions.,The officer was able to stare down the repercussions.,the Police Department was able to stare down the repercussions.,NE
driver,collapse,Daytona International Speedway,the driver had collapsed with heat exhaustion.,the Daytona International Speedway had collapsed with heat exhaustion.,The driver wilted under the heat exhaustion.,the Daytona International Speedway wilted under the heat exhaustion.,NE
coach,tell,Baltimore Ravens Stadium,the coach tells lucas he can join the ravens.,the Baltimore Ravens Stadium tells lucas he can join the ravens.,The coach unleashed Lucas to join the Ravens.,the Baltimore Ravens Stadium unleashed Lucas to join the Ravens.,NE
tutor,slide,Juilliard School,tutor for the tenor slide trombone.,Juilliard School for the tenor slide trombone.,The tutor guided the tenor's voice through a glissando.,Juilliard School guided the tenor's voice through a glissando.,NE
tutor,scaffold,University of Education,the tutor also scaffolds (provides support for) key processes in reading.,the University of Education also scaffolds (provides support for) key processes in reading.,The tutor built a fortress of support for key processes in reading.,the University of Education built a fortress of support for key processes in reading.,NE
writer,dislike,IGN,"however, the writer for ign disliked how he appeared in super smash bros. brawl.","however, IGN for ign disliked how he appeared in super smash bros. brawl.",The writer loathed the character's appearance in Super Smash Bros. Brawl to the core.,"however, IGN loathed the character's appearance in Super Smash Bros. Brawl to the core.",NE
player,plan,MI6,the player can plan each mission in detail.,MI6 can plan each mission in detail.,The player can orchestrate each mission in intricate detail.,MI6 can orchestrate each mission in intricate detail.,NE
officer,make,Department of Corrections,"additionally, the probation officer must make an inquiry into the offender's criminal history.","additionally, the probation Department of Corrections must make an inquiry into the offender's criminal history.","Additionally, the probation officer must excavate the offender's criminal history.","additionally, the probation Department of Corrections must excavate the offender's criminal history.",NE
writer,win,Academy of Literature,no writer has won the short fiction award more than once.,no Academy of Literature has won the short fiction award more than once.,No writer has conquered the short fiction award more than once.,no Academy of Literature has conquered the short fiction award more than once.,NE
accountant,tell,IRS,by early 1952 his accountant told him that he was broke.,by early 1952 his IRS told him that he was broke.,"By early 1952, his accountant's words screamed that he was broke.",by early 1952 his IRS 's words screamed that he was broke.,NE
performer,appear,Comedy Cellar,the performer should not have appeared in so you think you're funny?,the Comedy Cellar should not have appeared in so you think you're funny?,"The performer should not have stumbled into a routine that included ""so you think you're funny?""","the Comedy Cellar should not have stumbled into a routine that included ""so you think you're funny?""",NE
king,lose,Parliament,"i's death, the king lost most of his power to an aristocratic council of elders.","i's death, the Parliament lost most of his power to an aristocratic council of elders.","Upon his brother's death, the king surrendered to darkness, relinquishing most of his power to an aristocratic council of elders.","i's death, the Parliament surrendered to darkness, relinquishing most of his power to an aristocratic council of elders.",NE
queen,tell,Buckingham Palace,so the queen told her about her brothers.,so the Buckingham Palace told her about her brothers.,The queen blurted out the truth about her brothers to her.,so the Buckingham Palace blurted out the truth about her brothers to her.,NE
prince,lead,Samanid Empire,in 885 the prince led a campaign to the turkmen.,in 885 the Samanid Empire led a campaign to the turkmen.,"In 885, the prince stormed into the Turkmen.",in 885 the Samanid Empire stormed into the Turkmen.,NE
photographer,take,Broadway,"during the course of filming, the still photographer takes shots of on-stage scenes.","during the course of filming, the still Broadway takes shots of on-stage scenes.",The still photographer captured the essence of the on-stage scenes during the course of filming.,"during the course of filming, the still Broadway captured the essence of the on-stage scenes during the course of filming.",NE
researcher,apply,Harvard University,"prior to constructing categories, a researcher might apply a first and second cycle coding methods.","prior to constructing categories, a Harvard University might apply a first and second cycle coding methods.","Prior to constructing categories, a researcher might unleash the first and second cycle coding methods.","prior to constructing categories, a Harvard University might unleash the first and second cycle coding methods.",NE
president,assign,White House,the president assigned responsibility for the surveys to the army corps of engineers.,the White House assigned responsibility for the surveys to the army corps of engineers.,The president entrusted the burden of the surveys to the army corps of engineers.,the White House entrusted the burden of the surveys to the army corps of engineers.,NE
commentator,note,BBC News,the commentator also noted the lower groups becoming apathetic.,BBC News also noted the lower groups becoming apathetic.,The commentator scribbled the lower groups' apathy with disdain.,BBC News scribbled the lower groups' apathy with disdain.,NE
queen,visit,Buckingham Palace,the queen visited in july 1962.,Buckingham Palace visited in july 1962.,The queen launched an imperial invasion on the city in July 1962.,Buckingham Palace launched an imperial invasion on the city in July 1962.,NE
scientist,make,National Institute of Health,"besides these natural occurring forms, scientist have made synthetic forms with different toxic strengths.","besides these natural occurring forms, National Institute of Health have made synthetic forms with different toxic strengths.","Besides these naturally occurring forms, scientists have brewed synthetic forms with varying toxic strengths.","besides these natural occurring forms, National Institute of Health s have brewed synthetic forms with varying toxic strengths.",NE
